,likes,Checkins,Returns,Category,commBase,comm24,comm48,diff2448,baseTime,length,shares,hrs,sun_pub,mon_pub,tue_pub,wed_pub,thu_pub,fri_pub,sat_pub,sun_base,mon_base,tue_base,wed_base,thu_base,fri_base,sat_base,output,baseTime_l
3444,3002026,0,77240.0,9.0,228.0,112,116.0,-4,"(21.0, 28.0]",84,1794.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,37,"(21.0, 28.0]"
17459,595191,99,1561.0,16.0,10.0,10,0.0,10,"(7.0, 14.0]",174,84.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,5,"(7.0, 14.0]"
10437,7373665,1,37465.0,14.0,314.0,55,259.0,-204,"(42.0, 49.0]",29,5088.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,9,"(42.0, 49.0]"
13933,63888,0,1564.0,24.0,8.0,8,0.0,8,"(-1.0, 7.0]",119,1.0,24,0,0.0,1,0,0.0,0,0,0,0.0,1,0,0,0,0,14,"(-1.0, 7.0]"
10795,441554,0,60660.0,4.0,28.0,28,0.0,28,"(14.0, 21.0]",76,26.0,24,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,1,"(14.0, 21.0]"
22448,22485,0,300.0,16.0,6.0,2,4.0,-2,"(21.0, 28.0]",57,1.0,24,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,0,"(21.0, 28.0]"
391,1552629,0,64641.0,9.0,135.0,3,23.0,-20,"(49.0, 57.0]",433,36.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,2,"(49.0, 57.0]"
14860,3432568,0,36997.0,9.0,26.0,0,14.0,-14,"(57.0, 65.0]",145,50.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,"(57.0, 65.0]"
37263,158159,18,237.0,13.0,6.0,1,3.0,-2,"(49.0, 57.0]",8,21.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,"(49.0, 57.0]"
1073,14032442,6,35154.0,20.0,23.0,4,8.0,-4,"(57.0, 65.0]",142,81.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,2,"(57.0, 65.0]"
29518,4913787,60,158828.0,9.0,21.0,21,0.0,21,"(21.0, 28.0]",137,39.0,24,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,7,"(21.0, 28.0]"
35661,6991,0,550.0,80.0,2.0,0,0.0,0,"(57.0, 65.0]",559,3.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0,"(57.0, 65.0]"
36362,297702,148,488.0,55.0,2.0,0,2.0,-2,"(35.0, 42.0]",70,1.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,"(35.0, 42.0]"
22402,186866,206,6605.0,18.0,0.0,0,0.0,0,"(65.0, 72.0]",67,1.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0,"(65.0, 72.0]"
